127.0.0.1 - - [08/Mar/2020:16:38:13 -0400] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [08/Mar/2020:16:38:13 -0400] "GET /SIS-v2/ HTTP/1.1" 200 939
0:0:0:0:0:0:0:1 - - [08/Mar/2020:16:38:13 -0400] "GET /SIS-v2/res/mc.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2020:16:38:13 -0400] "GET /SIS-v2/res/mc.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2020:16:38:14 -0400] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [08/Mar/2020:16:38:18 -0400] "GET /SIS-v2/Start/Ajax?surname=Rod&minCredit=20&report=true HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [08/Mar/2020:16:38:20 -0400] "GET /SIS-v2/Start/Ajax?surname=Rod&minCredit=20&report=true HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [08/Mar/2020:16:38:21 -0400] "POST /SIS-v2/ HTTP/1.1" 200 939
0:0:0:0:0:0:0:1 - - [08/Mar/2020:16:38:54 -0400] "GET /SIS-v2/Start/* HTTP/1.1" 200 939
0:0:0:0:0:0:0:1 - - [08/Mar/2020:16:39:00 -0400] "POST /SIS-v2/Start/* HTTP/1.1" 200 909
0:0:0:0:0:0:0:1 - - [08/Mar/2020:16:39:03 -0400] "GET /SIS-v2/Start/* HTTP/1.1" 200 939
0:0:0:0:0:0:0:1 - - [08/Mar/2020:16:39:04 -0400] "GET /SIS-v2/Start/Ajax?surname=Rod&minCredit=20&report=true HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [08/Mar/2020:16:39:05 -0400] "POST /SIS-v2/Start/* HTTP/1.1" 200 909
0:0:0:0:0:0:0:1 - - [08/Mar/2020:16:39:07 -0400] "GET /SIS-v2/Start/* HTTP/1.1" 200 939
0:0:0:0:0:0:0:1 - - [08/Mar/2020:16:39:17 -0400] "GET /SIS-v2/ HTTP/1.1" 200 939
0:0:0:0:0:0:0:1 - - [08/Mar/2020:16:39:23 -0400] "GET /SIS-v2/Start/Ajax?surname=Pet&minCredit=30&report=true HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [08/Mar/2020:16:39:24 -0400] "POST /SIS-v2/ HTTP/1.1" 200 939
0:0:0:0:0:0:0:1 - - [08/Mar/2020:16:39:26 -0400] "POST /SIS-v2/ HTTP/1.1" 200 939
0:0:0:0:0:0:0:1 - - [08/Mar/2020:16:39:27 -0400] "POST /SIS-v2/ HTTP/1.1" 200 939
0:0:0:0:0:0:0:1 - - [08/Mar/2020:16:39:35 -0400] "POST /SIS-v2/ HTTP/1.1" 200 939
0:0:0:0:0:0:0:1 - - [08/Mar/2020:16:39:36 -0400] "POST /SIS-v2/ HTTP/1.1" 200 939
0:0:0:0:0:0:0:1 - - [08/Mar/2020:16:39:46 -0400] "GET /SIS-v2/Start/* HTTP/1.1" 200 939
0:0:0:0:0:0:0:1 - - [08/Mar/2020:16:40:57 -0400] "POST /SIS-v2/Start/* HTTP/1.1" 200 909
0:0:0:0:0:0:0:1 - - [08/Mar/2020:16:40:58 -0400] "GET /SIS-v2/Start/* HTTP/1.1" 200 939
0:0:0:0:0:0:0:1 - - [08/Mar/2020:16:40:59 -0400] "GET /SIS-v2/Start/Ajax?surname=Rod&minCredit=20&report=true HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [08/Mar/2020:16:41:03 -0400] "GET /SIS-v2/Start/Ajax?surname=Pet&minCredit=20&report=true HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [08/Mar/2020:16:41:05 -0400] "POST /SIS-v2/Start/* HTTP/1.1" 200 658
